MutualExclusion,NThreads,val_a,val_b,nRectangles/Sub-Intervals,Result
./trap_semaphore,1,20.000000,40.000000,2,19000.000000
./trap_semaphore,1,20.000000,40.000000,2,19000.000000
./trap_semaphore,1,20.000000,40.000000,2,19000.000000
./trap_semaphore,1,20.000000,40.000000,2,19000.000000
./trap_semaphore,1,20.000000,40.000000,2,19000.000000
./trap_semaphore,2,20.000000,40.000000,2,19000.000000
./trap_semaphore,2,20.000000,40.000000,2,19000.000000
./trap_semaphore,2,20.000000,40.000000,2,19000.000000
./trap_semaphore,2,20.000000,40.000000,2,19000.000000
./trap_semaphore,2,20.000000,40.000000,2,19000.000000
./trap_semaphore,4,20.000000,40.000000,2,16000.000000
./trap_semaphore,4,20.000000,40.000000,2,16000.000000
./trap_semaphore,4,20.000000,40.000000,2,16000.000000
./trap_semaphore,4,20.000000,40.000000,2,16000.000000
./trap_semaphore,4,20.000000,40.000000,2,16000.000000
./trap_semaphore,6,20.000000,40.000000,2,24000.000000
./trap_semaphore,6,20.000000,40.000000,2,24000.000000
./trap_semaphore,6,20.000000,40.000000,2,24000.000000
./trap_semaphore,6,20.000000,40.000000,2,24000.000000
./trap_semaphore,6,20.000000,40.000000,2,24000.000000
./trap_semaphore,8,20.000000,40.000000,2,32000.000000
./trap_semaphore,8,20.000000,40.000000,2,32000.000000
./trap_semaphore,8,20.000000,40.000000,2,32000.000000
./trap_semaphore,8,20.000000,40.000000,2,32000.000000
./trap_semaphore,8,20.000000,40.000000,2,32000.000000
./trap_semaphore,10,20.000000,40.000000,2,40000.000000
./trap_semaphore,10,20.000000,40.000000,2,40000.000000
./trap_semaphore,10,20.000000,40.000000,2,40000.000000
./trap_semaphore,10,20.000000,40.000000,2,40000.000000
./trap_semaphore,10,20.000000,40.000000,2,40000.000000
